Wall time,Step,Value
1681334408.700612,4096,5081.6123046875
1681334411.340221,6144,3275.1396484375
1681334413.9526558,8192,578.710693359375
1681334416.471243,10240,367.939697265625
1681334419.040087,12288,581.004150390625
1681334421.5592692,14336,166.86361694335938
1681334424.276822,16384,313.14306640625
1681334426.861823,18432,111.33147430419922
1681334429.554053,20480,122.18318939208984
1681334432.1129339,22528,72.16263580322266
1681334434.605809,24576,131.1247100830078
1681334437.087198,26624,101.82918548583984
1681334439.6224089,28672,2195.41357421875
1681334442.129954,30720,121.2630844116211
1681334444.482302,32768,70.40766143798828
1681334446.906871,34816,292.2672424316406
1681334449.456406,36864,3588.6328125
1681334452.062575,38912,795.6709594726562
1681334454.633934,40960,857.6124877929688
1681334457.14122,43008,495.759033203125
1681334459.72739,45056,37.915489196777344
1681334462.057611,47104,265.44085693359375
1681334464.677875,49152,2895.718505859375
1681334467.2451131,51200,206.67709350585938
1681334469.4252899,53248,932.7825317382812
1681334471.775216,55296,1833.256103515625
1681334474.153069,57344,1818.7979736328125
1681334476.496269,59392,4605.70556640625
1681334478.630686,61440,249.1741180419922
1681334480.889715,63488,427.0731201171875
1681334483.345691,65536,45.217159271240234
1681334486.205489,67584,124.27825927734375
1681334488.722125,69632,554.9298706054688
1681334491.4268749,71680,1270.4271240234375
1681334494.209876,73728,4179.39306640625
1681334497.233289,75776,8314.67578125
1681334499.6839528,77824,35.661170959472656
1681334503.010794,79872,320.2555236816406
1681334505.837528,81920,258.24163818359375
1681334509.3445141,83968,152.76853942871094
1681334512.7553449,86016,451.12164306640625
1681334516.6053388,88064,295.69598388671875
1681334520.058759,90112,75.43910217285156
1681334523.558381,92160,664.4306030273438
1681334527.583977,94208,1487.6614990234375
1681334531.28431,96256,2552.6875
1681334534.632994,98304,3646.133544921875
1681334537.843559,100352,2038.1514892578125
1681334540.316244,102400,5829.06689453125
1681334542.730191,104448,605.5596313476562
1681334544.933814,106496,5835.35693359375
1681334547.0307689,108544,2821.02197265625
1681334549.16116,110592,1587.2735595703125
1681334551.318741,112640,2464.0166015625
1681334553.595019,114688,971.185546875
1681334555.765028,116736,2121.7265625
1681334557.846236,118784,2896.983154296875
1681334560.034066,120832,3145.402587890625
1681334562.168829,122880,6045.15576171875
1681334564.228888,124928,1278.083740234375
1681334566.287712,126976,3920.8779296875
1681334568.34772,129024,16.984596252441406
1681334570.4615839,131072,11.973733901977539
1681334572.615674,133120,2843.207275390625
1681334574.708652,135168,2887.887939453125
1681334576.891892,137216,664.9268798828125
1681334578.955864,139264,651.8206176757812
1681334581.0598001,141312,3154.8115234375
1681334583.192394,143360,6219.1455078125
1681334585.3445919,145408,712.3543090820312
1681334587.4209862,147456,2802.0380859375
1681334589.501817,149504,2017.7816162109375
1681334591.559245,151552,801.967529296875
