Wall time,Step,Value
1681235488.750483,2048,-395.9200134277344
1681235490.797738,4096,-414.875
1681235492.83989,6144,-417.4907531738281
1681235494.880362,8192,-409.8135070800781
1681235496.9150982,10240,-408.5528259277344
1681235498.958817,12288,-396.1297607421875
1681235501.003275,14336,-388.6676330566406
1681235503.037948,16384,-386.002685546875
1681235505.071146,18432,-389.25
1681235507.112563,20480,-379.88250732421875
1681235509.152404,22528,-374.3900146484375
1681235511.188954,24576,-363.6424865722656
1681235513.222813,26624,-353.1524963378906
1681235515.255966,28672,-341.9624938964844
1681235517.29685,30720,-331.5975036621094
1681235519.335208,32768,-319.9425048828125
1681235521.3971388,34816,-315.67498779296875
1681235523.4190452,36864,-310.2699890136719
1681235525.434093,38912,-310.1300048828125
1681235527.472183,40960,-307.18499755859375
1681235529.519346,43008,-287.8074951171875
1681235531.557964,45056,-277.510009765625
1681235533.604309,47104,-267.6050109863281
1681235535.638848,49152,-262.4100036621094
1681235537.6910038,51200,-257.7149963378906
1681235539.757453,53248,-246.29249572753906
1681235541.779659,55296,-238.33999633789062
1681235543.818038,57344,-228.61500549316406
1681235545.839232,59392,-218.0850067138672
1681235547.86538,61440,-201.1824951171875
1681235549.931856,63488,-178.49749755859375
1681235551.96064,65536,-157.5050048828125
1681235554.002439,67584,-142.1374969482422
1681235556.023618,69632,-122.69499969482422
1681235558.053853,71680,-119.53500366210938
1681235560.245075,73728,-81.80500030517578
1681235562.2927191,75776,-48.11750030517578
1681235564.308085,77824,-0.14749999344348907
1681235566.3167071,79872,36.68000030517578
1681235568.384552,81920,29.447500228881836
1681235570.398357,83968,10.010000228881836
1681235572.434877,86016,17.094999313354492
1681235574.4891362,88064,4.639999866485596
1681235576.516866,90112,13.3125
1681235578.5538921,92160,2.8949999809265137
1681235580.774519,94208,9.912500381469727
1681235583.044627,96256,-12.507499694824219
1681235585.24257,98304,-5.897500038146973
1681235587.301992,100352,-37.02750015258789
1681235589.510846,102400,-38.994998931884766
1681235591.632994,104448,-45.869998931884766
1681235593.713865,106496,-11.642499923706055
1681235595.821961,108544,6.902500152587891
1681235597.83873,110592,21.59749984741211
1681235599.965307,112640,31.790000915527344
1681235602.242996,114688,29.422500610351562
1681235604.464861,116736,15.032500267028809
1681235606.520255,118784,8.667499542236328
1681235608.5885792,120832,6.922500133514404
1681235610.6124742,122880,-0.6825000047683716
1681235612.647788,124928,22.614999771118164
1681235614.7121348,126976,22.137500762939453
1681235616.728069,129024,41.79249954223633
1681235618.76185,131072,63.897499084472656
1681235620.831425,133120,97.73500061035156
1681235622.861011,135168,118.72250366210938
1681235624.890155,137216,186.7324981689453
1681235626.925621,139264,223.4774932861328
1681235628.99982,141312,252.6750030517578
1681235631.053612,143360,284.6925048828125
1681235633.087709,145408,281.50750732421875
1681235635.3189912,147456,286.1400146484375
1681235637.498562,149504,264.9125061035156
1681235639.531204,151552,286.8349914550781
