Wall time,Step,Value
1681334847.3613381,4096,0.00045377016067504883
1681334850.0617752,6144,3.68952751159668e-05
1681334852.304205,8192,1.2099742889404297e-05
1681334854.4313579,10240,-1.0251998901367188e-05
1681334856.534814,12288,-2.2172927856445312e-05
1681334858.650032,14336,-4.0531158447265625e-06
1681334860.758801,16384,-3.5762786865234375e-07
1681334862.8432472,18432,-3.504753112792969e-05
1681334864.947743,20480,0.0
1681334867.0713332,22528,0.0
1681334869.1861708,24576,-1.1920928955078125e-07
1681334871.30064,26624,0.0
1681334873.626993,28672,0.0
1681334876.022982,30720,0.0
1681334878.420831,32768,5.960464477539063e-08
1681334880.8009112,34816,0.0
1681334882.9236522,36864,1.1920928955078125e-07
1681334885.175199,38912,0.0
1681334887.450665,40960,0.0014803409576416016
1681334889.605428,43008,0.0019276738166809082
1681334892.1965451,45056,0.012402713298797607
1681334894.5828779,47104,0.0007911324501037598
1681334896.7135549,49152,0.0029984712600708008
1681334898.8205419,51200,0.001923680305480957
1681334900.9196951,53248,0.00717926025390625
1681334903.0119731,55296,0.015315115451812744
1681334905.207065,57344,0.00741046667098999
1681334907.290756,59392,0.018236279487609863
1681334909.4770482,61440,0.028317809104919434
1681334911.6435351,63488,0.015107274055480957
1681334913.814616,65536,0.016598165035247803
1681334916.0071099,67584,0.013339638710021973
1681334918.128886,69632,0.02176535129547119
1681334920.237909,71680,0.02995985746383667
1681334922.3478458,73728,0.03245943784713745
1681334924.473301,75776,0.027645885944366455
1681334926.61906,77824,0.01829850673675537
1681334928.7105138,79872,0.05792170763015747
1681334930.8621702,81920,0.06868481636047363
1681334932.9646971,83968,0.06074613332748413
1681334935.186613,86016,0.028861045837402344
1681334937.301246,88064,0.005726993083953857
1681334939.398942,90112,0.028211534023284912
1681334941.53,92160,0.06942009925842285
1681334943.634739,94208,0.04220491647720337
1681334945.746764,96256,0.04645282030105591
1681334947.831913,98304,0.06383287906646729
1681334949.9391518,100352,0.08558082580566406
