Wall time,Step,Value
1681334406.454176,2048,-364.1739196777344
1681334408.700444,4096,-348.7790832519531
1681334411.3400478,6144,-303.875
1681334413.9524858,8192,-262.6550598144531
1681334416.471072,10240,-244.97474670410156
1681334419.039916,12288,-199.37750244140625
1681334421.5590951,14336,-164.58250427246094
1681334424.276652,16384,-132.9600067138672
1681334426.861654,18432,-115.28250122070312
1681334429.5538828,20480,-114.38500213623047
1681334432.11276,22528,-104.63249969482422
1681334434.605637,24576,-100.51249694824219
1681334437.087025,26624,-96.59750366210938
1681334439.622237,28672,-90.05249786376953
1681334442.129782,30720,-90.90249633789062
1681334444.4821298,32768,-92.52749633789062
1681334446.906699,34816,-85.47000122070312
1681334449.456233,36864,-97.56500244140625
1681334452.062402,38912,-92.26000213623047
1681334454.6337652,40960,-100.17250061035156
1681334457.141048,43008,-91.52749633789062
1681334459.727221,45056,-99.1500015258789
1681334462.0574431,47104,-99.19000244140625
1681334464.6777039,49152,-98.97000122070312
1681334467.2449439,51200,-89.87750244140625
1681334469.425118,53248,-85.32250213623047
1681334471.775043,55296,-73.44750213623047
1681334474.152894,57344,-69.84249877929688
1681334476.4961011,59392,-48.380001068115234
1681334478.630517,61440,-52.439998626708984
1681334480.8895402,63488,-59.657501220703125
1681334483.345519,65536,-60.060001373291016
1681334486.205312,67584,-74.66500091552734
1681334488.721953,69632,-53.79499816894531
1681334491.426705,71680,-50.32500076293945
1681334494.209624,73728,-45.85499954223633
1681334497.233118,75776,-40.26250076293945
1681334499.6837811,77824,-47.505001068115234
1681334503.010585,79872,-60.279998779296875
1681334505.837356,81920,-87.03250122070312
1681334509.344343,83968,-102.21499633789062
1681334512.755174,86016,-108.03250122070312
1681334516.605162,88064,-103.5250015258789
1681334520.0585861,90112,-100.82250213623047
1681334523.558202,92160,-92.57250213623047
1681334527.5838,94208,-72.72250366210938
1681334531.2841358,96256,-45.01250076293945
1681334534.63282,98304,-21.162500381469727
1681334537.8433862,100352,-3.109999895095825
1681334540.3160682,102400,-3.369999885559082
1681334542.7300181,104448,18.36750030517578
1681334544.933644,106496,14.9975004196167
1681334547.0305998,108544,0.6800000071525574
1681334549.160989,110592,-6.53249979019165
1681334551.318572,112640,-9.045000076293945
1681334553.594826,114688,-5.925000190734863
1681334555.76486,116736,20.822500228881836
1681334557.846067,118784,50.76750183105469
1681334560.0338938,120832,80.97750091552734
1681334562.1686559,122880,81.43250274658203
1681334564.228718,124928,90.51249694824219
1681334566.287544,126976,50.3650016784668
1681334568.34755,129024,38.375
1681334570.4614122,131072,12.385000228881836
1681334572.6155038,133120,11.217499732971191
1681334574.7084851,135168,3.244999885559082
1681334576.891721,137216,-22.362499237060547
1681334578.9556942,139264,15.077500343322754
1681334581.059631,141312,6.855000019073486
1681334583.192207,143360,-5.212500095367432
1681334585.3444202,145408,-7.195000171661377
1681334587.420814,147456,7.082499980926514
1681334589.501647,149504,-19.354999542236328
1681334591.559075,151552,-20.03499984741211
