Wall time,Step,Value
1681334845.154419,2048,25.987178802490234
1681334847.361144,4096,31.559999465942383
1681334850.061573,6144,43.08000183105469
1681334852.3040042,8192,53.709999084472656
1681334854.4311628,10240,63.869998931884766
1681334856.534624,12288,67.97000122070312
1681334858.6498408,14336,73.45999908447266
1681334860.7586071,16384,80.30999755859375
1681334862.843049,18432,77.02999877929688
1681334864.947551,20480,68.81999969482422
1681334867.07114,22528,57.369998931884766
1681334869.1859782,24576,50.91999816894531
1681334871.3003361,26624,52.790000915527344
1681334873.626791,28672,56.150001525878906
1681334876.022779,30720,57.97999954223633
1681334878.420626,32768,58.33000183105469
1681334880.8007119,34816,55.77000045776367
1681334882.92346,36864,56.7400016784668
1681334885.1750011,38912,57.220001220703125
1681334887.450465,40960,58.209999084472656
1681334889.605227,43008,56.08000183105469
1681334892.196316,45056,55.2400016784668
1681334894.582678,47104,54.09000015258789
1681334896.7133598,49152,55.0
1681334898.820343,51200,60.45000076293945
1681334900.919504,53248,61.15999984741211
1681334903.0117812,55296,57.75
1681334905.206871,57344,57.25
1681334907.290563,59392,64.72000122070312
1681334909.4768572,61440,60.060001373291016
1681334911.643338,63488,51.900001525878906
1681334913.814427,65536,48.650001525878906
1681334916.006916,67584,51.58000183105469
1681334918.128693,69632,53.18000030517578
1681334920.237705,71680,48.189998626708984
1681334922.3476548,73728,43.79999923706055
1681334924.47311,75776,44.150001525878906
1681334926.618869,77824,43.900001525878906
1681334928.7103229,79872,51.209999084472656
1681334930.861975,81920,52.97999954223633
1681334932.964496,83968,46.27000045776367
1681334935.186419,86016,47.66999816894531
1681334937.301047,88064,47.90999984741211
1681334939.398741,90112,57.33000183105469
1681334941.529797,92160,61.0099983215332
1681334943.634549,94208,58.369998931884766
1681334945.746569,96256,47.41999816894531
1681334947.8317199,98304,47.880001068115234
1681334949.9389591,100352,49.209999084472656
