Wall time,Step,Value
1681334847.361378,4096,11150.0146484375
1681334850.061816,6144,9098.71875
1681334852.304244,8192,6377.2783203125
1681334854.4313972,10240,5120.38134765625
1681334856.5348532,12288,4019.166259765625
1681334858.650072,14336,4343.04248046875
1681334860.75884,16384,3742.5244140625
1681334862.843287,18432,4400.32421875
1681334864.9477818,20480,9681.0126953125
1681334867.071372,22528,10046.9912109375
1681334869.1862102,24576,16065.2451171875
1681334871.300682,26624,15226.125
1681334873.627033,28672,12845.267578125
1681334876.0230222,30720,9215.767578125
1681334878.4208698,32768,12470.0146484375
1681334880.800951,34816,8032.7763671875
1681334882.923692,36864,13000.138671875
1681334885.175238,38912,8038.923828125
1681334887.4507048,40960,12970.5673828125
1681334889.605469,43008,14461.0361328125
1681334892.196585,45056,7915.11962890625
1681334894.582918,47104,8256.423828125
1681334896.713595,49152,19579.298828125
1681334898.820582,51200,13246.0888671875
1681334900.919734,53248,8550.0400390625
1681334903.012012,55296,15880.1513671875
1681334905.207104,57344,12030.4892578125
1681334907.290796,59392,8944.1904296875
1681334909.477086,61440,10450.1474609375
1681334911.643575,63488,13155.826171875
1681334913.814655,65536,12228.423828125
1681334916.0071502,67584,19150.5625
1681334918.128926,69632,11992.7158203125
1681334920.237949,71680,16047.353515625
1681334922.347886,73728,17830.447265625
1681334924.473341,75776,18528.59375
1681334926.619099,77824,15639.3544921875
1681334928.7105541,79872,16408.6953125
1681334930.86221,81920,6353.486328125
1681334932.964737,83968,18124.8828125
1681334935.1866539,86016,18748.59375
1681334937.301285,88064,13941.314453125
1681334939.398991,90112,12414.4541015625
1681334941.530039,92160,11550.625
1681334943.634778,94208,9757.259765625
1681334945.746803,96256,20523.056640625
1681334947.8319519,98304,19975.515625
1681334949.939191,100352,10956.4921875
